Area (km2),Population Census 2009,Urbanisation per County,Forest Cover Percentage,Predicted Tree cover loss (2001-20) %
2884.5,752965.0,14,16.8,9.530963584570774
21292.7,687312.0,41,7.14,10.22844135315002
8696.1,399227.0,25,6.79,10.84653684238256
6497.7,101539.0,20,33.9,13.446076112888658
2361.0,693558.0,25,38.03,12.753194128473817
6930.1,1356301.0,12,18.31,6.568158527459019
3154.7,963794.0,14,2.59,7.73298540805275
7509.5,1603325.0,46,9.29,9.501244786688973
71597.8,855399.0,14,4.06,-1.0534283036495662
25336.1,143294.0,44,5.34,11.985942643653477
